#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2019-11-27 17:36:03.342
#Start: 1000 Hz
#Stop: 1e+06 Hz
#Steps: 800
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Relative: no
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
1000.000000000001,0.01888378137013286,-31.90766824213748,87.64777871781885
1008.682981252564,0.01874044463992484,-31.83540318293823,87.6750492173731
1017.441356668559,0.01889570679319889,-31.76756409546842,87.67703252910442
1026.275780894095,0.0188803236115716,-31.68131265186864,87.62374098078374
1035.186914259556,0.01876476682668024,-31.60074624554692,87.61901862207192
1044.175422828971,0.01964085676153152,-31.52957006851954,87.62480083385964
1053.241978449782,0.01875260368943862,-31.45602630124518,87.65646756930482
1062.387258803074,0.01802162680593314,-31.37668512487606,87.59441932943258
1071.611947454223,0.01924988165784711,-31.30690999798086,87.52576190403052
1080.91673390399,0.01866281865482788,-31.23631275203431,87.56306401755728
1090.30231364006,0.01892120003038763,-31.1568517795271,87.52205469384828
1099.769388189022,0.01870119078779059,-31.08209652848574,87.45140032505519
1109.31866516881,0.0180737167435417,-31.01627172320697,87.45879256706795
1118.950858341589,0.01931783677523951,-30.9368523698354,87.45257205074444
1128.666687667108,0.01850983239621106,-30.85579507773607,87.45022353411184
1138.466879356514,0.01843651353926131,-30.78013379761245,87.48051178520969
1148.352165926631,0.01940077173313919,-30.69957980851708,87.40373844069245
1158.323286254712,0.01858224632921023,-30.63059938655098,87.42891071226705
1168.380985633668,0.01813595419574497,-30.56193040733694,87.37959290009501
1178.526015827776,0.01848611175612141,-30.48286662530948,87.40272383781314
1188.759135128866,0.01850324478783749,-30.40735244591698,87.32274307002712
1199.081108413004,0.01863197959428366,-30.32113122092088,87.40314465846224
1209.492707197656,0.01890498768274573,-30.25470867679607,87.34907589504832
1219.994709699364,0.01865418216091187,-30.18025048058998,87.3130493457269
1230.58790089191,0.0185086341512488,-30.09714558002393,87.25029729604341
1241.273072564985,0.01893861808182428,-30.02431820332983,87.24433516648358
1252.051023383379,0.01910544609749987,-29.9487046274809,87.24359857064985
1262.922558946667,0.0181901360035331,-29.88019855425183,87.23352983948587
1273.888491849441,0.0188821995330913,-29.81219285632235,87.21466538564937
1284.949641742025,0.01846016092586636,-29.72833130518159,87.2634145292985
1296.106835391758,0.01852316226727901,-29.6442338947477,87.1381947570485
1307.360906744785,0.01815156248586028,-29.58483080808001,87.18070023168656
1318.712696988382,0.01828072513858483,-29.50322983036145,87.09734493879094
1330.163054613849,0.01748000732500373,-29.42762367629625,87.08092591084957
1341.712835479913,0.01812164255290834,-29.35307427198808,87.08211349375904
1353.362902876708,0.0183936141876443,-29.27680119422599,87.06350952754997
1365.114127590301,0.01809244594293655,-29.20765788648936,86.97220365635823
1376.967387967775,0.01760394254757181,-29.11799581129735,87.0788363543117
