#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2019-11-27 17:38:34.473
#Start: 1000 Hz
#Stop: 1e+06 Hz
#Steps: 800
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Relative: no
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
1000.000000000001,0.01840356596593872,-61.46789755642275,176.0970034569905
1008.682981252564,0.01842899820557177,-61.46895171777808,176.3679850980404
1017.441356668559,0.01875762611603253,-61.58084008060571,175.5235091333209
1026.275780894095,0.01834509092421968,-61.07345759561915,173.565624433892
1035.186914259556,0.01874715807509517,-61.04664698380169,176.396922847559
1044.175422828971,0.01842033265999967,-60.98970479107139,176.342956817075
1053.241978449782,0.01911340950092378,-60.97901263227013,175.8833506572464
1062.387258803074,0.01881421752268866,-60.32643549886603,176.066579618959
1071.611947454223,0.01867434827024989,-60.23715651737984,176.5673365798358
1080.91673390399,0.01830967370590569,-60.08931452988876,176.3411764983904
1090.30231364006,0.01887481885076962,-59.91678016319823,175.6284974219511
1099.769388189022,0.01817293804040809,-60.2402045033465,175.0910844735416
1109.31866516881,0.01850506276031236,-59.72148122922106,176.0083412777495
1118.950858341589,0.0181132591801053,-59.84633293592787,176.2792089225855
1128.666687667108,0.01866026348696504,-59.62379858666507,175.4186932891921
1138.466879356514,0.01859913473911051,-59.68200568358708,175.4510569588564
1148.352165926631,0.01872625255632419,-59.25132361858155,175.6661716321403
1158.323286254712,0.01836065528994583,-58.80913524950694,176.0816434868094
1168.380985633668,0.01850444554928676,-58.94572381210713,174.1121871448235
1178.526015827776,0.01847124251892725,-58.89459277003995,174.3469915537241
1188.759135128866,0.01865042731498832,-58.88239482472685,176.2682299802124
1199.081108413004,0.01823143545304825,-58.59153051106207,173.7053131765684
1209.492707197656,0.01819957296180552,-58.29427206579157,176.5295843873878
1219.994709699364,0.0178452920512852,-57.9310171795528,174.7906437979647
1230.58790089191,0.01781767731072901,-57.94569579464782,175.0882606909012
1241.273072564985,0.01775590952237104,-58.0572667995547,174.8343955904551
1252.051023383379,0.01795782440623113,-57.72113212186866,175.3715151041973
1262.922558946667,0.01801505461904018,-57.70649755094533,176.2479422395763
1273.888491849441,0.01797936168353181,-57.59601781164627,174.6294495433803
1284.949641742025,0.01823731587468094,-57.2541599464441,175.2290082332546
1296.106835391758,0.01807864748563048,-57.40559606655193,174.3951215071791
1307.360906744785,0.01829717709527135,-57.04531552627195,175.1324892076198
1318.712696988382,0.01835831552231151,-56.84821397757062,174.9233280505572
1330.163054613849,0.01767882640464499,-56.83199180232145,173.7658593465159
1341.712835479913,0.01752168449061074,-56.61997216096996,174.8895916073967
1353.362902876708,0.01860564787847016,-56.33672407991852,175.4202849573011
1365.114127590301,0.01812865327854539,-56.0940547169189,175.3123910521716
1376.967387967775,0.01805203850829463,-56.3291671499162,174.49541247441
1388.923569982891,0.01813206323447031,-55.97883795423475,175.0493834220734
1400.983567302295,0.01753484461546313,-55.82539703760709,175.6384052437407
1413.148281352329,0.01780696396646894,-55.76738013711193,174.6027094974125
1425.418621386403,0.01801004378342199,-55.57637551673643,175.2348354027862
1437.795504552955,0.01847468332034543,-55.37044355227816,175.4281170830685
1450.279855964008,0.01856395769182665,-55.46129366349398,175.7398860929435
1462.872608764313,0.01811511263857169,-54.95329129038357,173.5668515542207
1475.574704201101,0.0171352090479789,-54.94012498476067,172.7904750146607
1488.387091694435,0.01762803571545805,-54.79590973096788,173.8398176320154
1501.310728908174,0.017851363814791,-54.58002219129177,173.7464529542227
1514.346581821555,0.01714750749801394,-54.45530757833988,174.1455158404324
1527.495624801396,0.01712833108398381,-54.49196667480396,174.9041555499014
1540.758840674918,0.01814355139670309,-54.42088870807994,174.2839028853784
1554.137220803218,0.01726954103734826,-54.08256254757119,174.3730521341128
1567.631765155362,0.01754465094837343,-53.86821392042972,173.6664939964239
1581.243482383128,0.01782181321523168,-53.74306584312212,173.6017907820479
1594.9733898964,0.01763631149670714,-53.56909525364699,173.2313197071366
1608.822513939205,0.01716326897548994,-53.44499739011408,173.3894538615477
1622.791889666442,0.01786043063725554,-53.4034750947523,175.0564700558017
1636.882561221226,0.01645629640297448,-53.21659856392895,173.5127471606882
1651.095581812957,0.01735799972220134,-52.9032603342544,173.5979727302499
1665.432013796029,0.017288297467116,-52.97656359039505,173.2107660361112
1679.892928749236,0.01761934847792258,-52.75531020481274,174.4318189028569
1694.47940755588,0.01745220630381559,-52.53327198756737,173.4496479442806
1709.192540484542,0.0174266452241734,-52.33273982340592,173.5229756726461
1724.033427270589,0.01727651444642056,-52.19957311039545,174.1141660615378
1739.003177198373,0.01723757557424192,-52.09146581984221,173.7386929731179
1754.102909184131,0.01747205402729649,-52.02531395048272,173.4828462490435
1769.333751859645,0.0174342973505316,-51.81908569891298,174.0723792858051
1784.696843656568,0.0166251047392785,-51.70017657777306,173.044485695712
1800.193332891546,0.01654933294118213,-51.57965120229739,173.9509216555386
1815.824377852032,0.01732447648584203,-51.40496039331091,173.2820738989206
1831.591146882867,0.01656534807557858,-51.31390423231607,172.975574504503
1847.494818473613,0.01582233934261589,-51.06596621457055,173.5201962010576
1863.536581346626,0.01705963188858111,-50.86229391022906,172.9938688230821
1879.717634545924,0.01718345366580971,-50.82146604860046,172.8232317502919
1896.039187526798,0.01669903742147317,-50.54687089006415,172.8979431973871
1912.502460246217,0.01714068817480902,-50.47922304384308,172.8660287087984
1929.108683254017,0.0171638483721783,-50.37015379597115,173.3395705226337
1945.859097784868,0.01729589842903398,-50.07069432365146,173.3461841085206
1962.754955851062,0.01721271775625774,-49.96985132543345,173.148298254935
1979.797520336091,0.01697166348167671,-49.92485515571603,172.6973940103848
1996.98806508904,0.01627164187347351,-49.81183655971742,172.723248260329
2014.327875019799,0.01578263348607029,-49.60690277790003,172.3041416274635
2031.818246195113,0.01673454386255025,-49.52111489695996,171.9519509491658
2049.460485935438,0.01686747827375416,-49.35038346149827,172.3642313187697
2067.255912912686,0.0165797006405262,-49.12539498152834,172.3561756481849
2085.205857248756,0.0163168768192239,-48.91914966678966,172.4675580263397
2103.31166061498,0.01650712936308158,-48.78471431461429,172.0764209395274
2121.574676332399,0.01665872173349154,-48.68049558087584,172.9884708378393
2139.996269472903,0.01672623584199934,-48.66374110177519,172.3010360957823
2158.577816961293,0.01660655740325129,-48.3889189125149,172.1839500857898
2177.320707678165,0.01614895906331568,-48.22266177230407,172.4887486059221
2196.226342563751,0.01617796826345871,-48.10321905033004,171.9143170047126
2215.296134722619,0.01621033577998972,-47.90993267446198,172.206776003317
2234.531509529288,0.01585866593374243,-47.78573450600258,172.3168280568046
2253.933904734793,0.01520766636696154,-47.72843655043418,171.8968084459938
2273.504770574121,0.01511629786845477,-47.54454980478147,172.0114969035838
2293.245569874628,0.01654871606772143,-47.41520672407178,171.6889099950534
2313.157778165372,0.01573518572328421,-47.22335808779886,171.4848926081348
2333.242883787401,0.01532537713334028,-47.10701582507014,171.6878713778703
2353.502388005005,0.01544725268984107,-46.90441169297512,171.1577100766306
2373.937805117914,0.01600757503481987,-46.72915613996989,171.6890803923185
2394.550662574503,0.01437259524491335,-46.60056496359224,171.4622408964096
2415.342501085949,0.01479436922363767,-46.43165470617546,171.5693309806205
2436.314874741396,0.01602394240379753,-46.31238748415595,171.0931559813197
2457.469351124118,0.01587802596717217,-46.1432902372063,171.1581569825896
