#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2019-11-27 17:39:33.437
#Start: 1000 Hz
#Stop: 1e+06 Hz
#Steps: 800
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Relative: no
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
1000.000000000001,0.01848594622689719,-56.54997456807158,176.0303575352529
1008.682981252564,0.01852107296396275,-56.18811573496392,177.4125942147934
1017.441356668559,0.01845816500571926,-56.24874607708284,176.1835742383153
1026.275780894095,0.01911723350483081,-55.96426962803011,176.6742258158441
1035.186914259556,0.01888896027377271,-56.13764122698825,177.7090754069097
1044.175422828971,0.01883847650092238,-55.82001910949373,176.1754864771895
1053.241978449782,0.01886615945119849,-55.71861808637791,177.2192196293219
1062.387258803074,0.01818121001482122,-55.53390408673771,175.9421716268319
1071.611947454223,0.0187798151210873,-55.29853514536869,175.9594946050405
1080.91673390399,0.01837635674580812,-55.03807447140015,177.6960706471852
1090.30231364006,0.01892929827024257,-55.18777674083886,176.7033072791997
1099.769388189022,0.01925041195493186,-54.95332245349121,176.1192872349571
1109.31866516881,0.01889172721597464,-54.7011375772021,177.531881310353
1118.950858341589,0.01827439871980609,-54.45053308224283,176.7128161585555
1128.666687667108,0.01870897721028653,-54.3203472944091,176.3296820376536
1138.466879356514,0.01844335222499052,-54.36597500218411,176.0948049770188
1148.352165926631,0.01860337336466418,-53.98150799175563,176.829145375063
1158.323286254712,0.01790212477626545,-53.9596513047293,176.3889800547935
1168.380985633668,0.01816897712588084,-53.81694342650374,176.5390124868817
1178.526015827776,0.01881571944980602,-53.62302136721912,175.5405588633168
1188.759135128866,0.0183388684156299,-53.51021593033558,176.364602456561
1199.081108413004,0.01847058519770407,-53.41451095825511,175.9386024870237
1209.492707197656,0.01865115195720438,-53.29730604175533,175.4320339401711
1219.994709699364,0.01913237196773098,-52.87977081575711,176.7642399729336
1230.58790089191,0.01815422338146477,-52.93129473455711,176.37424374931
1241.273072564985,0.01791370482116695,-52.72484260481956,175.8318732640771
1252.051023383379,0.01784894883487215,-52.54050523996584,176.0290485002562
1262.922558946667,0.01772672644190959,-52.5153257579423,176.1753347239032
1273.888491849441,0.0179276567005228,-52.3028148956553,176.1082877622724
1284.949641742025,0.01821879566536157,-52.1679597235186,176.3411647221488
1296.106835391758,0.01845550184490192,-52.11023940540545,175.6475621875937
1307.360906744785,0.01861836835924461,-52.04601918695045,176.1219359072105
1318.712696988382,0.01828984295207462,-51.70235603487106,175.7048115035199
1330.163054613849,0.01828175032701002,-51.68481501243747,175.9420553030429
1341.712835479913,0.01857918255557054,-51.33136929745167,175.8828410509556
1353.362902876708,0.01798473503557721,-51.19544902452872,176.3359666378621
1365.114127590301,0.01773355511592102,-51.11531947988182,175.7457446361159
1376.967387967775,0.0182775977914791,-51.02090007074271,176.3278582352361
1388.923569982891,0.01815209935231028,-50.77844526171332,175.4991002407867
1400.983567302295,0.01787066149794676,-50.76368848407696,175.60540322791
1413.148281352329,0.01782055607263648,-50.50425810109072,175.6162254108702
1425.418621386403,0.01814796920973645,-50.38035199499353,175.4743143597615
1437.795504552955,0.01734790399475685,-50.22428353132592,175.4874779607722
1450.279855964008,0.01786669238465464,-50.10883833381182,176.1010140834311
1462.872608764313,0.01801053542341772,-49.92356342387434,175.7565501619214
1475.574704201101,0.01837805990484255,-49.93328011434158,175.5983002133526
1488.387091694435,0.01759744170310443,-49.65583553353881,175.0045633415523
1501.310728908174,0.01835203446590672,-49.4465245844436,175.6617533922195
1514.346581821555,0.01712041966500871,-49.25583379128874,175.8949006191371
1527.495624801396,0.01650893278237841,-49.14762416104419,175.13936547975
1540.758840674918,0.01737884788355905,-48.95521609206813,175.3879452445416
1554.137220803218,0.01757700377924692,-48.9133264905762,175.3646840390418
1567.631765155362,0.01763647461185888,-48.74642464851831,174.9677124666626
1581.243482383128,0.01798026804239324,-48.59205992710319,175.3841254396411
1594.9733898964,0.01811963184867234,-48.38202632648276,175.6774530277379
1608.822513939205,0.01767947851401163,-48.29177168813379,174.9944065623665
1622.791889666442,0.01782577811318676,-48.0203138955168,175.2735776846517
1636.882561221226,0.01851703928381547,-47.94189054523112,174.7042139264899
1651.095581812957,0.01798713573002652,-47.84599252047158,175.4304120332315
1665.432013796029,0.01722712723283499,-47.6162982596409,175.4893603044311
1679.892928749236,0.01753241932159695,-47.5193088051655,174.8065913896116
1694.47940755588,0.01715427663603688,-47.36813199272868,174.8340451047826
1709.192540484542,0.01684935355204992,-47.18850169292797,175.3262499250055
1724.033427270589,0.01780444467825116,-47.12280678553775,174.2930477403322
1739.003177198373,0.01688004174362831,-46.87635835657819,175.1031253049094
1754.102909184131,0.01715678989535872,-46.77958225826299,175.1617334641801
1769.333751859645,0.0172124805871989,-46.58725953008336,174.3388675309128
1784.696843656568,0.01696982955696016,-46.47767740544314,174.3290677986684
1800.193332891546,0.01718030985329918,-46.23960090298411,174.611741088205
1815.824377852032,0.01706489011072568,-46.16648137411233,174.5245629678109
1831.591146882867,0.01704471802285654,-46.0017702422534,174.2172740902903
1847.494818473613,0.01643014511039175,-45.85139917321604,174.5040527476433
1863.536581346626,0.01663341046859603,-45.75179823220509,174.3489708792602
1879.717634545924,0.01732219467755278,-45.62407315306568,174.3494884658895
1896.039187526798,0.01655658700549733,-45.43361060913907,174.5729598371284
1912.502460246217,0.01696106431860881,-45.22051801380363,174.2114302956288
1929.108683254017,0.01736979021132216,-45.09493572927514,174.361890012789
1945.859097784868,0.01740113075338471,-44.97794474811479,174.3563481272614
1962.754955851062,0.01599268966864543,-44.78870829397826,174.2331053391175
1979.797520336091,0.01664977020369701,-44.64183389208682,174.1479023603488
1996.98806508904,0.01689543115970391,-44.49936878843413,174.122471306715
2014.327875019799,0.01716692930850803,-44.34775811428705,174.1310080403886
2031.818246195113,0.01693008173218729,-44.20866394476601,173.9444485464167
2049.460485935438,0.01675145798084257,-44.06059688677818,173.8300230359497
2067.255912912686,0.01650959588641552,-43.88436747917748,173.798202886409
2085.205857248756,0.01703037424227289,-43.73655890405455,173.6875666861666
2103.31166061498,0.01650600006008612,-43.61253968425694,173.837310342771
2121.574676332399,0.01678056616190217,-43.45238545181676,173.8956048469081
2139.996269472903,0.01637020056227648,-43.33341147964993,173.6922660487872
2158.577816961293,0.0166298304355021,-43.10006865736823,173.8596851590426
2177.320707678165,0.01550850567693024,-42.98211466159236,173.6397860400533
2196.226342563751,0.01614488752216596,-42.90769218362406,173.567531596534
2215.296134722619,0.0166872216054389,-42.70337451736452,173.3687534114638
2234.531509529288,0.01613970437803953,-42.55775151639368,173.4230501754609
2253.933904734793,0.01638503718090603,-42.43262717318451,173.2448099249706
2273.504770574121,0.01574046635481913,-42.2599241142622,173.2777344355074
2293.245569874628,0.01605913498936056,-42.1291341905473,173.1222447817898
2313.157778165372,0.01648714909394653,-41.94669043289305,172.8222165119164
2333.242883787401,0.01636724507907813,-41.79895629164271,173.1557662569673
2353.502388005005,0.01589376181461186,-41.7219724175741,173.0283733116655
2373.937805117914,0.016143431070347,-41.47401302812881,172.8734989853968
2394.550662574503,0.01581301494131978,-41.37105506324235,172.7791995381215
2415.342501085949,0.01482448670895665,-41.1945683982043,172.7128241584358
2436.314874741396,0.01594567236156311,-41.0526742569965,172.9210538221549
2457.469351124118,0.01538719547270067,-40.95476290274271,172.724464984309
2478.807511428676,0.01520746667940386,-40.72137187536648,172.424589524075
2500.330950579123,0.01644854481771499,-40.60489436154737,172.5229504548865
2522.041277348204,0.0152727729885228,-40.44209985707945,172.5152196587247
2543.940114477607,0.01577891393670941,-40.30811282400821,172.685103447305
2566.029098799259,0.01528117595418818,-40.13653569478216,172.3459061731588
2588.309881357666,0.01579478397727899,-40.01393494181077,172.5218369315871
2610.784127533315,0.01489137748010919,-39.84519025703198,172.3938318985476
2633.453517167177,0.01668354072640384,-39.70340719628374,172.358113709788
