Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
1527.495625,0.017533148,-93.42044362,-63.04553436
1540.758841,0.017373695,-94.43795361,162.4532678
1554.137221,0.017411542,-88.45591759,-124.4415894
1567.631765,0.017649048,-88.29475652,-12.09907543
1581.243482,0.017944542,-91.90325674,1.432794859
1594.97339,0.017404641,-87.71506054,-81.77128718
1608.822514,0.017819669,-85.05408285,-64.00836983
1622.79189,0.017462902,-89.75345015,-156.0888105
1636.882561,0.017344268,-88.26217418,-159.5156846
1651.095582,0.017652235,-81.14682054,-128.0118616
1665.432014,0.017752367,-89.46144819,-98.73449285
1679.892929,0.017344889,-92.63664424,-73.29032893
1694.479408,0.017433148,-85.61245799,-106.4285543
1709.19254,0.01709521,-88.15793682,-149.9123555
1724.033427,0.017621993,-86.96523817,-122.1477646
1739.003177,0.016769733,-83.3104216,-97.84435458
1754.102909,0.016843984,-86.33398467,-97.50730377
1769.333752,0.017117637,-88.70916357,109.8931936
1784.696844,0.016750318,-87.36776115,-160.3247824
1800.193333,0.017139639,-85.2988134,-126.5591766
1815.824378,0.016605963,-85.97796781,-114.779274
1831.591147,0.017748775,-86.77306235,-156.5741815
1847.494818,0.016821202,-96.41896778,162.456011
1863.536581,0.016277839,-102.1297464,-135.1001908
1879.717635,0.016752188,-100.278028,-138.0281745
1896.039188,0.016762117,-99.14804472,-162.5278726
1912.50246,0.016723997,-84.44393833,-107.364865
1929.108683,0.017385229,-83.2730199,-126.8810023
1945.859098,0.017301865,-89.97485764,176.2877887
1962.754956,0.01599664,-87.60004318,-131.5507028
1979.79752,0.0163818,-93.4273482,-75.9975925
1996.988065,0.016316118,-92.85486367,-104.466153
2014.327875,0.016854353,-89.11889535,-34.76449204
2031.818246,0.017206296,-91.66894928,-108.5058985
2049.460486,0.016911748,-87.38350788,-117.4515175
2067.255913,0.016165825,-88.63976749,-138.809423
2085.205857,0.016462876,-89.0541442,-157.1063877
2103.311661,0.017097718,-82.315531,-92.10867804
2121.574676,0.016989877,-85.29143538,-90.81475777
2139.996269,0.017408779,-83.47547075,-126.519421
2158.577817,0.015886569,-86.72970761,-138.7824624
2177.320708,0.016869412,-85.45638971,-139.0503248
2196.226343,0.015243133,-81.44692328,-126.2985149
2215.296135,0.015944417,-88.80291934,-146.1073123
2234.53151,0.016184664,-88.31932836,-72.81234626
2253.933905,0.015844032,-87.12103645,-104.0614969
2273.504771,0.015256731,-87.23747096,-143.1748018
2293.24557,0.016102467,-90.90246526,-132.7905649
2313.157778,0.016176064,-90.96319191,-161.0130833
2333.242884,0.0158688,-90.20298945,-152.0649875
2353.502388,0.01498714,-87.80550402,-133.8175662
2373.937805,0.016125077,-98.54639891,-100.4139377
2394.550663,0.015582286,-88.89682625,-87.24851164
2415.342501,0.015673022,-100.1913673,-77.87272623
2436.314875,0.015368818,-89.54844966,-66.64586417
2457.469351,0.015013045,-82.34746776,-132.2172561
2478.807511,0.014507398,-87.18124079,-136.1211421
2500.330951,0.015199241,-84.08337063,-164.4306919
2522.041277,0.015545103,-84.11595432,-127.322685
2543.940114,0.015574308,-90.13202001,-166.5188456
2566.029099,0.014867362,-83.31776056,-119.4603343
2588.309881,0.015522525,-96.41163827,-98.9404524
2610.784128,0.015100557,-95.36244553,-64.28483953
2633.453517,0.014701147,-83.44804004,-139.8640841
2656.319745,0.015002405,-89.17932242,-49.48223785
2679.384519,0.014379566,-95.00472621,-65.08768085
2702.649565,0.015594695,-86.64466535,-166.9335755
2726.11662,0.014668495,-87.37369041,-151.7077123
2749.78744,0.015655231,-89.64583702,-26.26709115
2773.663793,0.014915773,-80.02840384,-145.4970742
2797.747463,0.014619007,-84.40551895,-131.5346707
2822.040252,0.014707668,-82.06351229,-139.7539556
2846.543975,0.014878026,-84.89311305,-107.3593081
2871.260463,0.014778483,-84.2961608,-136.1020599
2896.191563,0.015363531,-88.10951559,-101.7324239
2921.33914,0.014070783,-89.07392453,-130.9387451
2946.705073,0.014968811,-83.33565932,-129.3761673
2972.291258,0.014557221,-81.6551285,-121.8993887
2998.099608,0.015006529,-83.41199491,-127.1516155
3024.13205,0.0135305,-84.94652445,-97.21935428
3050.390532,0.015057619,-84.17089123,-114.600289
3076.877016,0.01402823,-91.36136661,-141.0026558
3103.593481,0.013993528,-83.04513657,-142.0253199
3130.541925,0.014251071,-84.56499643,-149.5093655
3157.724362,0.013966231,-84.2420668,-140.0467173
3185.142824,0.013669096,-83.08157545,-137.2879375
